"Скважина","НГДУ","ЦДНГ","ГУ","ЗУ","Категория","Состояние","Причина простоя","Способ эксплуатации","№ отвода","Qж, м³/сут","Обв, %","Qн, т/сут"
UZN_0628,НГДУ-2,ЦДНГ-9,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0629,НГДУ-2,ЦДНГ-3,,,Нефтяная,Ликвидированная,,Отсутствует,,,,
UZN_0630,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0631,НГДУ-2,,,,Нагнетательная,В простое,Ограничение закачки из-за бурение,Отсутствует,,5.0,50.0,2.0
UZN_0632,НГДУ-2,ЦДНГ-3,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0633,НГДУ-1,ЦДНГ-2,ГУ-91,ЗУ-91а,Нефтяная,В работе,,ШГН,8.000000,25.0,85.0,3.0
UZN_0634,НГДУ-2,ЦДНГ-3,ГУ-43,ЗУ-43,Нефтяная,В работе,,ШГН,1.000000,15.0,85.0,2.0
UZN_0635,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0636,НГДУ-2,ЦДНГ-3,ГУ-43,ЗУ-43б,Нефтяная,В работе,,УЭЦН,13.000000,65.0,94.0,3.0
UZN_0637,НГДУ-1,ЦДНГ-2,ГУ-91,ЗУ-91а,Нефтяная,Ликвидированная,Технические причины,Отсутствует,12.000000,30.0,75.0,6.0
UZN_0638,НГДУ-2,ЦДНГ-3,ГУ-45,ЗУ-45б,Нефтяная,В работе,,ШГН,4.000000,35.0,80.0,6.0
UZN_0639,НГДУ-2,ЦДНГ-3,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0640,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0641,НГДУ-2,ЦДНГ-3,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0642,НГДУ-2,ЦДНГ-3,ГУ-45,ЗУ-45ж,Нефтяная,Ликвидированная,Технические причины,Отсутствует,5.000000,5.0,50.0,2.0
UZN_0643,НГДУ-1,,,,Нагнетательная,В работе,,Отсутствует,,10.0,95.0,0.0
UZN_0644,НГДУ-2,ЦДНГ-3,ГУ-43,ЗУ-43,Нефтяная,Ликвидированная,Технические причины,Отсутствует,12.000000,40.0,85.0,5.0
UZN_0645,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0646,НГДУ-2,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0647,НГДУ-2,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0648,НГДУ-2,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0649,НГДУ-2,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0650,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0651,НГДУ-2,ЦДНГ-3,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0652,НГДУ-4,ЦДНГ-4,ГУ-102,ЗУ-102г,Нефтяная,В работе,,ШГН,4.000000,55.0,95.0,2.0
UZN_0653,НГДУ-2,ЦДНГ-3,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0654,НГДУ-2,,,,Нагнетательная,Бездействие,Межколонный проявление,Отсутствует,,50.0,95.0,2.0
UZN_0655,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0656,НГДУ-2,ЦДНГ-3,ГУ-41,ЗУ-41а,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0657,НГДУ-4,ЦДНГ-4,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0658,НГДУ-4,ЦДНГ-4,ГУ-102,ЗУ-102г,Нефтяная,Ликвидированная,Технические причины,Отсутствует,3.000000,25.0,85.0,3.0
UZN_0659,НГДУ-2,ЦДНГ-3,ГУ-41,ЗУ-41д,Неизвестно,Ликвидированная,,ШГН,10.000000,45.0,99.0,0.0
UZN_0660,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0661,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0662,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,12.000000,30.0,80.0,5.0
UZN_0663,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0664,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0665,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0666,НГДУ-4,ЦДНГ-4,ГУ-102,ЗУ-102б,Нефтяная,Ликвидированная,Технические причины,Отсутствует,8.000000,70.0,99.0,1.0
