"Скважина","НГДУ","ЦДНГ","ГУ","ЗУ","Категория","Состояние","Причина простоя","Способ эксплуатации","№ отвода","Qж, м³/сут","Обв, %","Qн, т/сут"
KMB_0001,НГДУ-4,ЦДНГ-7,ГУ-105,ЗУ-105,Нефтяная,В работе,,ШГН,11.000000,10.0,75.0,2.0
KMB_0002,НГДУ-4,ЦДНГ-7,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0003,НГДУ-4,ЦДНГ-7,ГУ-121,ЗУ-121а,Нефтяная,В работе,,ШГН,3.000000,15.0,50.0,6.0
KMB_0004,НГДУ-4,ЦДНГ-7,ГУ-104,ЗУ-104а,Контрольная,В простое,КРС,Отсутствует,7.000000,5.0,98.0,0.0
KMB_0005,НГДУ-4,ЦДНГ-7,ГУ-101,ЗУ-101в,Нефтяная,Ликвидированная,Технические причины,Отсутствует,7.000000,30.0,98.0,0.0
KMB_0006,НГДУ-4,ЦДНГ-7,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0007,НГДУ-4,ЦДНГ-7,ГУ-103,ЗУ-103а,Нефтяная,В работе,,ШГН,2.000000,20.0,50.0,8.0
KMB_0008,НГДУ-4,ЦДНГ-7,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0009,НГДУ-4,ЦДНГ-7,,,Нефтяная,Ликвидированная,,Отсутствует,,,,
KMB_0010,НГДУ-4,ЦДНГ-7,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0012,НГДУ-4,ЦДНГ-7,,,Контрольная,В простое,КРС,Отсутствует,,,,
KMB_0013,НГДУ-4,ЦДНГ-7,ГУ-103,ЗУ-103б,Нефтяная,Ликвидированная,Технические причины,Отсутствует,1.000000,20.0,98.0,0.0
KMB_0014,НГДУ-4,ЦДНГ-7,ГУ-103,ЗУ-103г,Контрольная,В простое,Перевод в КФ,Отсутствует,8.000000,5.0,98.0,0.0
KMB_0015,НГДУ-4,ЦДНГ-7,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0016,НГДУ-4,ЦДНГ-7,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0017,НГДУ-4,ЦДНГ-7,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0018,НГДУ-4,ЦДНГ-7,ГУ-104,ЗУ-104б,Нефтяная,Ликвидированная,Технические причины,Отсутствует,3.000000,15.0,99.0,0.0
KMB_0019,НГДУ-4,ЦДНГ-7,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0020,НГДУ-4,ЦДНГ-7,ГУ-100,ЗУ-100б,Контрольная,В простое,Перевод в КФ,Отсутствует,12.000000,10.0,95.0,0.0
KMB_0022,НГДУ-4,ЦДНГ-7,ГУ-103,ЗУ-103г,Нефтяная,В работе,,ШГН,13.000000,25.0,65.0,7.0
KMB_0023,НГДУ-4,ЦДНГ-7,ГУ-103,ЗУ-103а,Нефтяная,В работе,,ШГН,9.000000,15.0,50.0,6.0
KMB_0024,НГДУ-4,ЦДНГ-7,ГУ-103,ЗУ-103г,Нефтяная,В простое,ОКРС,ШГН,7.000000,55.0,95.0,2.0
KMB_0025,НГДУ-4,ЦДНГ-7,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0028,НГДУ-4,,,,Нагнетательная,В работе,,Отсутствует,10.000000,5.0,30.0,3.0
KMB_0029,НГДУ-4,ЦДНГ-7,ГУ-121,ЗУ-121в,Контрольная,В простое,Нерентабельная для эксплуатации скважина,ШГН,8.000000,10.0,90.0,1.0
KMB_0030,НГДУ-4,,,,Нагнетательная,Ликвидированная,Геологические причины,Отсутствует,,,,
KMB_0031,НГДУ-4,ЦДНГ-7,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0032,НГДУ-4,ЦДНГ-7,ГУ-121,ЗУ-121а,Нефтяная,Ликвидированная,Технические причины,ШГН,11.000000,20.0,95.0,1.0
KMB_0033,НГДУ-4,ЦДНГ-7,ГУ-121,ЗУ-121а,Контрольная,В простое,Нерентабельная для эксплуатации скважина,Отсутствует,5.000000,50.0,99.0,0.0
KMB_0034,НГДУ-4,ЦДНГ-7,ГУ-121,ЗУ-121в,Нефтяная,Бездействие,Нет забоя,ШГН,2.000000,25.0,90.0,2.0
KMB_0036,НГДУ-4,ЦДНГ-7,ГУ-121,ЗУ-121г,Нефтяная,В работе,,ШГН,3.000000,75.0,95.0,3.0
KMB_0037,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0039,НГДУ-4,ЦДНГ-7,ГУ-101,ЗУ-101а,Нефтяная,Ликвидированная,Технические причины,Отсутствует,2.000000,25.0,98.0,0.0
KMB_0041,НГДУ-4,ЦДНГ-7,ГУ-121,ЗУ-121б,Нефтяная,В работе,,ШГН,3.000000,30.0,85.0,4.0
KMB_0042,НГДУ-4,ЦДНГ-7,ГУ-79,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,8.000000,50.0,95.0,2.0
KMB_0043,НГДУ-4,ЦДНГ-7,ГУ-79,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,12.000000,80.0,80.0,13.0
KMB_0044,НГДУ-4,ЦДНГ-7,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0046,НГДУ-4,,,,Нагнетательная,В работе,,Отсутствует,,,,
KMB_0047,НГДУ-4,ЦДНГ-7,ГУ-100,ЗУ-100д,Нефтяная,В работе,,ШГН,9.000000,35.0,95.0,1.0
KMB_0048,НГДУ-4,ЦДНГ-7,ГУ-100,ЗУ-100г,Нефтяная,Ликвидированная,Технические причины,Отсутствует,11.000000,,,
KMB_0049,НГДУ-4,ЦДНГ-7,ГУ-100,ЗУ-100г,Нефтяная,В работе,,ШГН,14.000000,30.0,96.0,1.0
KMB_0051,НГДУ-4,ЦДНГ-7,ГУ-100,ЗУ-100б,Нефтяная,Ликвидированная,Технические причины,Отсутствует,13.000000,65.0,90.0,5.0
KMB_0052,НГДУ-4,ЦДНГ-7,ГУ-79,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,13.000000,50.0,98.0,1.0
KMB_0053,НГДУ-4,ЦДНГ-7,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0054,НГДУ-4,ЦДНГ-7,ГУ-79,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,9.000000,0.0,0.0,0.0
KMB_0056,НГДУ-4,ЦДНГ-7,ГУ-100,ЗУ-100б,Нефтяная,В ожидании ликвидации,,ШГН,5.000000,55.0,95.0,2.0
KMB_0057,НГДУ-4,ЦДНГ-7,ГУ-79,,Нефтяная,В работе,,ШГН,2.000000,40.0,90.0,3.0
KMB_0058,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0061,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0063,НГДУ-4,ЦДНГ-7,ГУ-121,ЗУ-121в,Нефтяная,Ликвидированная,"III б) Скважины подлежащие ликвидации в результате аварий в процессе эксплуатации , при текущем или капитальном ремонте эксплуатационной скважине.",ШГН,1.000000,20.0,95.0,1.0
KMB_0065,НГДУ-4,,,,Нагнетательная,Ликвидированная,,Отсутствует,,,,
KMB_0068,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0069,НГДУ-4,ЦДНГ-7,ГУ-100,ЗУ-100а,Нефтяная,Ликвидированная,Технические причины,Отсутствует,6.000000,50.0,90.0,4.0
KMB_0070,НГДУ-4,ЦДНГ-7,ГУ-101,ЗУ-101в,Нефтяная,Ликвидированная,Геологические причины,ШГН,3.000000,60.0,98.0,1.0
KMB_0071,НГДУ-4,,,,Нагнетательная,Ликвидированная,Геологические причины,Отсутствует,,,,
KMB_0072,НГДУ-4,ЦДНГ-7,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0073,НГДУ-4,ЦДНГ-7,ГУ-101,,Нефтяная,В работе,,ШГН,2.000000,60.0,80.0,10.0
KMB_0074,НГДУ-4,ЦДНГ-7,ГУ-101,ЗУ-101в,Нефтяная,Ликвидированная,Технические причины,Отсутствует,12.000000,70.0,95.0,3.0
KMB_0075,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0076,НГДУ-4,ЦДНГ-7,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0077,НГДУ-4,ЦДНГ-7,ГУ-121,ЗУ-121а,Нефтяная,Ликвидированная,Технические причины,Отсутствует,1.000000,55.0,95.0,2.0
KMB_0078,НГДУ-4,ЦДНГ-7,ГУ-121,ЗУ-121в,Нефтяная,В работе,,ШГН,7.000000,25.0,85.0,3.0
KMB_0080,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0081,НГДУ-4,ЦДНГ-7,ГУ-101,ЗУ-101а,Нефтяная,Ликвидированная,Технические причины,Отсутствует,4.000000,35.0,85.0,4.0
KMB_0082,НГДУ-4,,,,Нагнетательная,В работе,,Отсутствует,,5.0,95.0,0.0
KMB_0083,НГДУ-4,ЦДНГ-7,ГУ-79,,Нефтяная,В работе,,ШГН,8.000000,25.0,85.0,3.0
KMB_0084,НГДУ-4,,,,Нагнетательная,В работе,,Отсутствует,,10.0,60.0,3.0
KMB_0085,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0086,НГДУ-4,ЦДНГ-7,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0087,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0089,НГДУ-4,ЦДНГ-7,ГУ-121,ЗУ-121б,Нефтяная,Ликвидированная,Технические причины,Отсутствует,10.000000,20.0,90.0,2.0
KMB_0090,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0091,НГДУ-4,ЦДНГ-7,ГУ-100,ЗУ-100в,Нефтяная,Ликвидированная,Технические причины,Отсутствует,5.000000,35.0,85.0,4.0
KMB_0092,НГДУ-4,ЦДНГ-7,ГУ-100,ЗУ-100а,Нефтяная,Ликвидированная,Технические причины,Отсутствует,4.000000,45.0,98.0,1.0
KMB_0095,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0096,НГДУ-4,ЦДНГ-7,ГУ-79,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,2.000000,60.0,90.0,5.0
KMB_0100,НГДУ-4,ЦДНГ-7,ГУ-79,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,3.000000,0.0,0.0,0.0
KMB_0101,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0102,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0103,НГДУ-4,ЦДНГ-7,ГУ-101,ЗУ-101а,Нефтяная,Ликвидированная,Технические причины,Отсутствует,6.000000,70.0,95.0,3.0
KMB_0104,НГДУ-4,ЦДНГ-7,ГУ-101,ЗУ-101в,Нефтяная,Ликвидированная,Технические причины,Отсутствует,1.000000,0.0,0.0,0.0
KMB_0105,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0106,НГДУ-4,ЦДНГ-7,ГУ-101,ЗУ-101а,Нефтяная,Бездействие,Низкорентабельная,ШГН,3.000000,45.0,98.0,1.0
KMB_0107,НГДУ-4,,,,Нагнетательная,Ликвидированная,Геологические причины,Отсутствует,,,,
KMB_0108,НГДУ-4,ЦДНГ-7,ГУ-121,ЗУ-121б,Нефтяная,В работе,,ШГН,3.000000,10.0,75.0,2.0
KMB_0109,НГДУ-4,ЦДНГ-7,ГУ-121,ЗУ-121г,Нефтяная,Ликвидированная,Технические причины,Отсутствует,1.000000,25.0,95.0,1.0
KMB_0110,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0111,НГДУ-4,ЦДНГ-7,ГУ-79,,Контрольная,В простое,Нерентабельная,ШГН,13.000000,10.0,95.0,0.0
KMB_0112,НГДУ-4,ЦДНГ-7,ГУ-100,ЗУ-100а,Нефтяная,Ликвидированная,Технические причины,Отсутствует,7.000000,30.0,90.0,3.0
KMB_0113,НГДУ-4,ЦДНГ-7,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0114,НГДУ-4,ЦДНГ-7,ГУ-100,ЗУ-100г,Нефтяная,Ликвидированная,Технические причины,Отсутствует,2.000000,,,
KMB_0115,НГДУ-4,,,,Нагнетательная,В ожидании ликвидации,,Отсутствует,,,,
KMB_0116,НГДУ-4,ЦДНГ-7,ГУ-79,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,5.000000,60.0,98.0,1.0
KMB_0117,НГДУ-4,ЦДНГ-7,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0118,НГДУ-4,ЦДНГ-7,ГУ-100,ЗУ-100г,Нефтяная,Ликвидированная,Технические причины,Отсутствует,7.000000,30.0,85.0,4.0
KMB_0119,НГДУ-4,ЦДНГ-7,ГУ-101,ЗУ-101в,Нефтяная,Бездействие,ПРС,ШГН,9.000000,25.0,95.0,1.0
KMB_0120,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0121,НГДУ-4,ЦДНГ-7,ГУ-121,ЗУ-121г,Нефтяная,Ликвидированная,Технические причины,Отсутствует,11.000000,20.0,85.0,3.0
KMB_0122,НГДУ-4,,,,Нагнетательная,В работе,,Отсутствует,,10.0,95.0,0.0
KMB_0123,НГДУ-4,ЦДНГ-7,,,Нефтяная,Ликвидированная,,Отсутствует,,,,
KMB_0124,НГДУ-4,ЦДНГ-7,ГУ-101,ЗУ-101в,Нефтяная,Ликвидированная,Технические причины,Отсутствует,12.000000,20.0,75.0,4.0
KMB_0125,НГДУ-4,,,,Нагнетательная,Ликвидированная,,Отсутствует,,,,
KMB_0126,НГДУ-4,ЦДНГ-7,ГУ-101,ЗУ-101б,Нефтяная,Бездействие,Технические причины,Отсутствует,7.000000,15.0,98.0,0.0
KMB_0127,НГДУ-4,ЦДНГ-7,ГУ-100,ЗУ-100а,Нефтяная,Бездействие,Геологические причины,ШГН,7.000000,40.0,95.0,2.0
KMB_0128,НГДУ-4,ЦДНГ-7,ГУ-100,ЗУ-100в,Нефтяная,Ликвидированная,Технические причины,Отсутствует,9.000000,,,
KMB_0129,НГДУ-4,ЦДНГ-7,ГУ-101,ЗУ-101б,Нефтяная,Бездействие,Нет забоя,ШГН,4.000000,20.0,98.0,0.0
KMB_0130,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0131,НГДУ-4,ЦДНГ-7,ГУ-79,,Нефтяная,В работе,,ШГН,4.000000,35.0,55.0,13.0
KMB_0132,НГДУ-4,ЦДНГ-7,ГУ-101,ЗУ-101а,Нефтяная,В работе,,ШГН,2.000000,25.0,70.0,6.0
KMB_0133,НГДУ-4,,,,Нагнетательная,В работе,,Отсутствует,,10.0,75.0,2.0
KMB_0134,НГДУ-4,ЦДНГ-7,ГУ-101,ЗУ-101б,Нефтяная,В работе,,ШГН,5.000000,10.0,45.0,5.0
KMB_0135,НГДУ-4,ЦДНГ-7,ГУ-101,ЗУ-101в,Нефтяная,В работе,,ШГН,2.000000,5.0,50.0,2.0
KMB_0136,НГДУ-4,,,,Нагнетательная,В простое,УКПД,Отсутствует,8.000000,15.0,50.0,6.0
KMB_0137,НГДУ-4,ЦДНГ-7,,,Нефтяная,Снят с баланса,,Фонтан,,,,
KMB_0138,НГДУ-4,,,,Нагнетательная,В работе,,Отсутствует,,,,
KMB_0139,НГДУ-4,ЦДНГ-7,ГУ-100,ЗУ-100г,Нефтяная,Ликвидированная,Технические причины,Отсутствует,2.000000,45.0,96.0,2.0
KMB_0140,НГДУ-4,ЦДНГ-7,ГУ-101,,Нефтяная,В ожидании ликвидации,,ШГН,1.000000,10.0,90.0,1.0
KMB_0141,НГДУ-4,ЦДНГ-7,ГУ-79,,Нефтяная,В работе,,ШГН,3.000000,60.0,90.0,5.0
KMB_0142,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,40.0,95.0,2.0
KMB_0143,НГДУ-4,ЦДНГ-7,ГУ-100,ЗУ-100а,Газовая,В простое,КРС,ШГН,2.000000,45.0,90.0,4.0
KMB_0144,НГДУ-4,ЦДНГ-7,ГУ-100,ЗУ-100г,Нефтяная,В работе,,ШГН,8.000000,15.0,45.0,7.0
KMB_0145,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0146,НГДУ-4,ЦДНГ-7,ГУ-79,,Нефтяная,В ожидании ликвидации,,ШГН,11.000000,35.0,80.0,6.0
KMB_0147,НГДУ-4,ЦДНГ-7,ГУ-79,,Нефтяная,В работе,,ШГН,6.000000,20.0,50.0,8.0
KMB_0148,НГДУ-4,ЦДНГ-7,ГУ-121,ЗУ-121г,Нефтяная,В работе,,ШГН,14.000000,15.0,45.0,7.0
KMB_0149,НГДУ-4,ЦДНГ-7,ГУ-79,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,3.000000,75.0,95.0,3.0
KMB_0150,НГДУ-4,ЦДНГ-7,ГУ-101,,Нефтяная,Бездействие,,ШГН,12.000000,10.0,95.0,0.0
KMB_0151,НГДУ-4,ЦДНГ-7,ГУ-121,ЗУ-121а,Нефтяная,Ликвидированная,Технические причины,Отсутствует,1.000000,70.0,95.0,3.0
KMB_0152,НГДУ-4,ЦДНГ-7,ГУ-100,ЗУ-100а,Нефтяная,Ликвидированная,Технические причины,Отсутствует,3.000000,40.0,75.0,8.0
KMB_0153,НГДУ-4,ЦДНГ-7,ГУ-121,ЗУ-121г,Нефтяная,В ожидании ликвидации,,ШГН,5.000000,50.0,99.0,0.0
KMB_0154,НГДУ-4,ЦДНГ-7,ГУ-105,ЗУ-105а,Контрольная,В простое,Нерентабельная для эксплуатации скважина,ШГН,4.000000,50.0,98.0,1.0
KMB_0155,НГДУ-4,ЦДНГ-7,ГУ-101,ЗУ-101в,Нефтяная,В работе,,ШГН,14.000000,20.0,80.0,3.0
KMB_0156,НГДУ-4,,,,Нагнетательная,В работе,,Отсутствует,,15.0,90.0,1.0
KMB_0157,НГДУ-4,ЦДНГ-7,ГУ-105,ЗУ-105,Нефтяная,В работе,,УЭЦН,13.000000,30.0,85.0,4.0
KMB_0158,НГДУ-4,ЦДНГ-7,ГУ-100,ЗУ-100б,Нефтяная,В работе,,ШГН,1.000000,15.0,70.0,4.0
KMB_0159,НГДУ-4,ЦДНГ-7,ГУ-103,ЗУ-103д,Контрольная,В работе,,ШГН,1.000000,5.0,98.0,0.0
KMB_0160,НГДУ-4,ЦДНГ-7,ГУ-101,ЗУ-101а,Нефтяная,Ликвидированная,Технические причины,Отсутствует,6.000000,5.0,98.0,0.0
KMB_0161,НГДУ-4,ЦДНГ-7,ГУ-101,ЗУ-101б,Нефтяная,Ликвидированная,Технические причины,Отсутствует,3.000000,55.0,95.0,2.0
KMB_0162,НГДУ-4,ЦДНГ-7,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0163,НГДУ-4,ЦДНГ-7,ГУ-79,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,13.000000,5.0,90.0,0.0
KMB_0164,НГДУ-4,ЦДНГ-7,ГУ-101,ЗУ-101а,Нефтяная,Ликвидированная,Технические причины,ШГН,1.000000,30.0,95.0,1.0
KMB_0165,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0166,НГДУ-4,ЦДНГ-7,ГУ-100,ЗУ-100а,Нефтяная,В работе,,ШГН,9.000000,15.0,90.0,1.0
KMB_0167,НГДУ-4,ЦДНГ-7,ГУ-101,ЗУ-101в,Нефтяная,Ликвидированная,Технические причины,Отсутствует,13.000000,25.0,90.0,2.0
KMB_0168,НГДУ-4,ЦДНГ-7,ГУ-121,ЗУ-121б,Нефтяная,Ликвидированная,Технические причины,Отсутствует,6.000000,50.0,95.0,2.0
KMB_0169,НГДУ-4,ЦДНГ-7,ГУ-101,ЗУ-101а,Нефтяная,Ликвидированная,Технические причины,Отсутствует,10.000000,,,
KMB_0170,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0171,НГДУ-4,,,,Нагнетательная,Ликвидированная,,Отсутствует,,,,
KMB_0172,НГДУ-4,ЦДНГ-7,ГУ-79,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,10.000000,5.0,95.0,0.0
KMB_0173,НГДУ-4,,,,Нагнетательная,В работе,,Отсутствует,,55.0,98.0,1.0
KMB_0174,НГДУ-4,ЦДНГ-7,ГУ-103,ЗУ-103,Нефтяная,В работе,,ШГН,5.000000,10.0,50.0,4.0
KMB_0175,НГДУ-4,ЦДНГ-7,ГУ-101,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,3.000000,40.0,90.0,3.0
KMB_0176,НГДУ-4,ЦДНГ-7,ГУ-101,ЗУ-101б,Нефтяная,Ликвидированная,Технические причины,Отсутствует,9.000000,60.0,95.0,3.0
KMB_0177,НГДУ-4,ЦДНГ-7,ГУ-121,ЗУ-121б,Нефтяная,Ликвидированная,Технические причины,Отсутствует,12.000000,50.0,99.0,0.0
KMB_0178,НГДУ-4,ЦДНГ-7,ГУ-121,ЗУ-121б,Нефтяная,В работе,,ШГН,1.000000,10.0,45.0,5.0
KMB_0179,НГДУ-4,,,,Нагнетательная,В работе,,Отсутствует,6.000000,40.0,85.0,5.0
KMB_0180,НГДУ-4,,,,Нагнетательная,В работе,,Отсутствует,,5.0,90.0,0.0
KMB_0181,НГДУ-4,ЦДНГ-7,ГУ-101,,Газовая,В простое,ПРС,ШГН,4.000000,5.0,55.0,2.0
KMB_0182,НГДУ-4,ЦДНГ-7,ГУ-101,ЗУ-101а,Нефтяная,Бездействие,Низкорентабельная,ШГН,12.000000,5.0,90.0,0.0
KMB_0183,НГДУ-4,ЦДНГ-7,ГУ-101,ЗУ-101б,Нефтяная,В работе,,ШГН,7.000000,25.0,70.0,6.0
KMB_0184,НГДУ-4,ЦДНГ-7,ГУ-79,,Нефтяная,Бездействие,Нет забоя,ШГН,14.000000,50.0,98.0,1.0
KMB_0185,НГДУ-4,ЦДНГ-7,ГУ-100,ЗУ-100а,Нефтяная,В работе,,ШГН,3.000000,10.0,45.0,5.0
KMB_0186,НГДУ-4,ЦДНГ-7,ГУ-100,ЗУ-100а,Нефтяная,Ликвидированная,Технические причины,Отсутствует,6.000000,,,
KMB_0187,НГДУ-4,ЦДНГ-7,,,Нефтяная,Снят с баланса,,Фонтан,,,,
KMB_0188,НГДУ-4,ЦДНГ-7,ГУ-121,ЗУ-121в,Нефтяная,В работе,,ШГН,4.000000,25.0,85.0,3.0
KMB_0189,НГДУ-4,ЦДНГ-7,ГУ-100,ЗУ-100г,Нефтяная,В работе,,ШГН,5.000000,50.0,80.0,8.0
KMB_0190,НГДУ-4,ЦДНГ-7,ГУ-105,ЗУ-105б,Нефтяная,В простое,,ШГН,1.000000,30.0,70.0,8.0
KMB_0191,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0192,НГДУ-4,ЦДНГ-7,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0193,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0194,НГДУ-4,ЦДНГ-7,ГУ-101,ЗУ-101в,Нефтяная,В работе,,ШГН,8.000000,35.0,90.0,3.0
KMB_0196,НГДУ-4,ЦДНГ-7,ГУ-101,ЗУ-101б,Нефтяная,В работе,,ШГН,13.000000,75.0,95.0,3.0
KMB_0197,НГДУ-4,ЦДНГ-7,ГУ-121,ЗУ-121а,Нефтяная,В работе,,ШГН,7.000000,30.0,80.0,5.0
KMB_0198,НГДУ-4,ЦДНГ-7,ГУ-121,ЗУ-121в,Нефтяная,Ликвидированная,Прочие причины,Отсутствует,11.000000,60.0,95.0,3.0
KMB_0199,НГДУ-4,,,,Нагнетательная,В работе,,Отсутствует,,45.0,90.0,4.0
KMB_0200,НГДУ-4,ЦДНГ-7,ГУ-121,ЗУ-121в,Нефтяная,В работе,,ШГН,10.000000,20.0,75.0,4.0
KMB_0201,НГДУ-4,ЦДНГ-7,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0202,НГДУ-4,ЦДНГ-7,ГУ-121,ЗУ-121г,Нефтяная,Ликвидированная,Технические причины,Отсутствует,7.000000,20.0,80.0,3.0
KMB_0203,НГДУ-4,ЦДНГ-7,ГУ-121,ЗУ-121а,Нефтяная,Ликвидированная,Технические причины,Отсутствует,14.000000,0.0,0.0,0.0
KMB_0204,НГДУ-4,ЦДНГ-7,ГУ-101,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,9.000000,0.0,0.0,0.0
KMB_0205,НГДУ-4,ЦДНГ-7,ГУ-121,ЗУ-121а,Нефтяная,Ликвидированная,Геологические причины,ШГН,5.000000,5.0,90.0,0.0
KMB_0206,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0207,НГДУ-4,ЦДНГ-7,ГУ-101,ЗУ-101а,Нефтяная,Ликвидированная,Технические причины,Отсутствует,10.000000,20.0,98.0,0.0
KMB_0208,НГДУ-4,ЦДНГ-7,ГУ-101,ЗУ-101в,Нефтяная,Ликвидированная,Технические причины,Отсутствует,5.000000,15.0,75.0,3.0
KMB_0209,НГДУ-4,,,,Нагнетательная,В работе,,Отсутствует,,40.0,98.0,1.0
KMB_0210,НГДУ-4,ЦДНГ-7,ГУ-100,ЗУ-100а,Нефтяная,Ликвидированная,Технические причины,ШГН,14.000000,55.0,98.0,1.0
KMB_0211,НГДУ-4,ЦДНГ-7,ГУ-100,ЗУ-100в,Нефтяная,Ликвидированная,Технические причины,Отсутствует,8.000000,40.0,90.0,3.0
KMB_0212,НГДУ-4,,,,Нагнетательная,Ликвидированная,Геологические причины,Отсутствует,,,,
KMB_0213,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0214,НГДУ-4,ЦДНГ-7,ГУ-100,ЗУ-100г,Нефтяная,Ликвидированная,Технические причины,Отсутствует,6.000000,70.0,98.0,1.0
KMB_0215,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0216,НГДУ-4,,,,Нагнетательная,Ликвидированная,Геологические причины,Отсутствует,,,,
KMB_0217,НГДУ-4,ЦДНГ-7,ГУ-79,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0218,НГДУ-4,ЦДНГ-7,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0219,НГДУ-4,ЦДНГ-7,ГУ-101,ЗУ-101в,Нефтяная,В работе,,ШГН,4.000000,50.0,98.0,1.0
KMB_0220,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0221,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
KMB_0222,НГДУ-4,ЦДНГ-6,ГУ-10,ЗУ-10а,Нефтяная,Ликвидированная,Технические причины,Отсутствует,9.000000,40.0,99.0,0.0
